Rank,Name,Position,Age,Market Value In Millions ,Country,Club,Matches,Goals,Own Goals,Assists,Yellow Cards,Second Yellow Cards,Red Cards,Number Of Substitute In,Number Of Substitute Out
77,Jamal Musiala,Attacking Midfield,18,45,Germany,Bayern Munich,16,4,0,4,0,0,0,12,4
78,Mason Greenwood,Right Winger,20,45,England,Manchester United,14,4,0,1,2,0,0,2,8
79,Pau Torres,Centre-Back,24,45,Spain,Villarreal CF,15,1,0,0,1,0,0,0,0
80,Ferran Torres,Right Winger,21,45,Spain,Manchester City,7,3,0,1,0,0,0,0,5
81,Vinícius Júnior,Left Winger,21,45,Brazil,Real Madrid,16,9,0,7,3,0,0,2,6
82,Dušan Vlahovic,Centre-Forward,21,45,Serbia,ACF Fiorentina,15,12,0,3,2,0,0,1,1
83,Theo Hernández,Left-Back,24,45,France,AC Milan,12,1,0,3,2,1,0,2,1
84,Christian Pulisic,Right Winger,23,45,United States,Chelsea FC,4,1,0,0,0,0,0,3,1
85,James Maddison,Attacking Midfield,24,45,England,Leicester City,16,1,0,1,1,0,0,6,9
86,Dani Olmo,Attacking Midfield,23,45,Spain,RB Leipzig,7,0,0,1,0,0,0,3,4
87,Ferland Mendy,Left-Back,26,45,France,Real Madrid,6,0,0,0,2,0,0,1,2
88,Ousmane Dembélé,Right Winger,24,45,France,FC Barcelona,1,0,0,0,0,0,0,1,0
89,Ederson,Goalkeeper,28,45,Brazil,Manchester City,14,0,0,0,2,0,0,0,0
90,Paulo Dybala,Second Striker,28,45,Argentina,Juventus FC,11,6,0,4,1,0,0,1,5
91,Piotr Zielinski,Attacking Midfield,27,45,Poland,SSC Napoli,14,3,0,2,0,0,0,3,11
92,Harry Maguire,Centre-Back,28,45,England,Manchester United,13,1,0,0,3,0,0,0,1
93,Antoine Griezmann,Second Striker,30,45,France,Atlético de Madrid,15,5,0,1,1,0,1,3,6
94,Stefan de Vrij,Centre-Back,29,45,Netherlands,Inter Milan,15,1,1,0,1,0,0,0,3
95,Lorenzo Insigne,Left Winger,30,43.2,Italy,SSC Napoli,14,5,0,4,0,0,0,0,13
96,Kalidou Koulibaly,Centre-Back,30,43.2,Senegal,SSC Napoli,15,2,0,1,2,0,1,0,0
97,Christopher Nkunku,Attacking Midfield,24,42.3,France,RB Leipzig,17,11,0,7,0,0,0,1,7
98,Reece James,Right-Back,21,40.5,England,Chelsea FC,12,4,0,4,2,0,1,3,1
99,Tanguy Ndombélé,Central Midfield,24,40.5,France,Tottenham Hotspur,11,2,0,0,2,0,0,4,5
100,Fabián Ruiz,Central Midfield,25,40.5,Spain,SSC Napoli,15,3,0,3,2,0,0,1,4
